Region,Festival,Tradition,Song Name,Author,URL
South India,Pongal,Classical,Krishna Stuti,Kumar Amonkar,https://in.video.search.yahoo.com/search/video;_ylt=AwrKHHVg.Jln.wEAJ3m7HAx.;_ylu=Y29sbwNzZzMEcG9zAzEEdnRpZAMEc2VjA3Nj?type=E211IN885G0&p=Krishna+Stuti+yt&fr=mcafee&turl=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOVP.C3kpTtjBa8_cEm3XA7tqpgHgFo%26pid%3DApi%26w%3D296%26h%3D156%26c%3D7%26p%3D0&rurl=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3Dzi9h12sxu6k&tit=Shri+Krishna+Stuti+%7C+Dr.+Vishwas+Sharma+%7C+Krishna+Bhajan&pos=01&vid=31772b0e0a0e834389a9be7e298fa0b4&sigr=CxmQHCqRXnsW&sigt=hmZjSGK7cmuv&sigi=fOfY5QbUIN_1
North India,Lohri,Classical,Bhakti Katha,Begum Gundecha,https://in.video.search.yahoo.com/search/video;_ylt=AwrKDvR_.JlnRwIAZxu7HAx.;_ylu=Y29sbwNzZzMEcG9zAzEEdnRpZAMEc2VjA3Nj?type=E211IN885G0&p=Bhakti+Katha+yt&fr=mcafee&turl=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOVP.TJJn5q-2mPL4U2LVM3QuXwHgFo%26pid%3DApi%26w%3D296%26h%3D156%26c%3D7%26p%3D0&rurl=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DsNpWtqPTm1Y&tit=Brihaspativar+Vrat+Katha+%7C+%22%E0%A4%97%E0%A5%81%E0%A4%B0%E0%A5%81%E0%A4%B5%E0%A4%BE%E0%A4%B0+%E0%A4%B5%E0%A5%8D%E0%A4%B0%E0%A4%A4+%E0%A4%95%E0%A4%A5%E0%A4%BE+%22+%7C+Thursday+Fast+%7C+Bhakti+Bhajan+Kirtan&pos=01&vid=6489fd2bf8f0c7474e00b5749f68861d&sigr=tTqnr_wIJTQY&sigt=2tIsOLW60pFB&sigi=ei5FvZnUl6v4
North India,Baisakhi,Classical,Bhakti Aarti,Bhimsen Mangeshkar,https://in.video.search.yahoo.com/search/video;_ylt=Awrx_W6i.Jln7QEAD327HAx.;_ylu=Y29sbwNzZzMEcG9zAzEEdnRpZAMEc2VjA3Nj?type=E211IN885G0&p=Bhakti+Aarti+yt&fr=mcafee&turl=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOVP.e2yJBCRIlVVqQiRxrXBh-wHgFo%26pid%3DApi%26w%3D296%26h%3D156%26c%3D7%26p%3D0&rurl=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DYuex2EnsGiY&tit=Ganesh+Aarti%2C+JAI+GANESH+DEVA+by+Anuradha+Paudwal+with+Hindi%2C+English+LyricsI+I+Full+Video+Song&pos=01&vid=4e7b28891773447ff36a02db7dd404db&sigr=c5sIX5SYiROM&sigt=RMz6q.WvY9ah&sigi=VVK7NG97ssSV
North India,Lohri,Folk,Anand Kirtan,Shubha Gundecha,https://in.video.search.yahoo.com/search/video;_ylt=AwrKHHW..JlnFAIA34S7HAx.;_ylu=Y29sbwNzZzMEcG9zAzEEdnRpZAMEc2VjA3Nj?type=E211IN885G0&p=Anand+Kirtan+yt&fr=mcafee&turl=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOVP.AEE4Iiljpi8gDuH0iqkauQHgFo%26pid%3DApi%26w%3D296%26h%3D156%26c%3D7%26p%3D0&rurl=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DCeLZ3HdyZiI&tit=Anand+Sahib+Kirtan&pos=01&vid=0414493472055ab278cce986c41023b7&sigr=kbPv0cWU_F58&sigt=Vl2cCjRj5TCm&sigi=XKNw1Szt2QyM
West India,Ganesh Chaturthi,Devotional,Jai Sangeet,Ustad Dey,https://in.video.search.yahoo.com/search/video;_ylt=AwrKErDl.JlnCAIAByu7HAx.;_ylu=Y29sbwNzZzMEcG9zAzEEdnRpZAMEc2VjA3Nj?type=E211IN885G0&p=Jai+Sangeet+yt&fr=mcafee&turl=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOVP.khANUy_9G_3EX6dLWpzjgAHgFo%26pid%3DApi%26w%3D296%26h%3D156%26c%3D7%26p%3D0&rurl=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DAETFvQonfV8&tit=%E0%A4%B6%E0%A5%8D%E0%A4%B0%E0%A5%80+%E0%A4%B9%E0%A4%A8%E0%A5%81%E0%A4%AE%E0%A4%BE%E0%A4%A8+%E0%A4%9A%E0%A4%BE%E0%A4%B2%E0%A5%80%E0%A4%B8%E0%A4%BE+%F0%9F%8C%BA%F0%9F%99%8F%7C+Shree+Hanuman+Chalisa+Original+Video+%7C%F0%9F%99%8F%F0%9F%8C%BA%7C+GULSHAN+KUMAR+%7C+HARIHARAN+%7CFull+HD&pos=01&vid=67e75fa16607862d688cd6028fb1f077&sigr=znSqcuZ_SwXM&sigt=7M0Yq7v8RnKW&sigi=GBeE5p_dHMY0
West India,Diwali,Folk,Guru Rasa,Ustad Dey,https://in.video.search.yahoo.com/search/video;_ylt=AwrKErAU.ZlnIQIA3we7HAx.;_ylu=Y29sbwNzZzMEcG9zAzEEdnRpZAMEc2VjA3Nj?type=E211IN885G0&p=Guru+Rasa+yt&fr=mcafee&turl=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOVP.eK4yxe6WFnVY7fBhfxvNkAHgFo%26pid%3DApi%26w%3D296%26h%3D156%26c%3D7%26p%3D0&rurl=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DKpMbR7WCLXI&tit=The+Importance+of+Silence+%7C+Sadhguru&pos=01&vid=25207543c83f3e0d08a0c4104712d934&sigr=GGRZDJuK82yD&sigt=ubl_TLxeEzdP&sigi=YgQe0CVquHlH
North India,Holi,Bhajan,Shiv Katha,Shubha Mansur,https://in.video.search.yahoo.com/search/video;_ylt=Awr1ShVW.Zln5gEANyO7HAx.;_ylu=Y29sbwNzZzMEcG9zAzEEdnRpZAMEc2VjA3Nj?type=E211IN885G0&p=Shiv+Katha+yt&fr=mcafee&turl=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOVP.kjdJbyU3jhUBQgvshuz08QHgFo%26pid%3DApi%26w%3D296%26h%3D156%26c%3D7%26p%3D0&rurl=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DVF_zJF0ze34&tit=LIVE+-+Shiv+Katha+%7C%7C+26+May+to+24+June+2021+%7C%7C+Day+1+%7C%7C+Vrindavan+%7C%7C+THAKUR+JI+MAHARAJ&pos=01&vid=41cf96e7bbfee67fa17a60a0a92587cd&sigr=7aZZ3XVhpNAq&sigt=eNQ69RH6VTZ1&sigi=CQo1YrZP.Xj6
West India,Diwali,Classical,Prema Aarti,Bhimsen Dey,https://in.video.search.yahoo.com/search/video;_ylt=Awr1Tely.ZlnegIAt2G7HAx.;_ylu=Y29sbwNzZzMEcG9zAzEEdnRpZAMEc2VjA3Nj?type=E211IN885G0&p=Prema+Aarti+yt&fr=mcafee&turl=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOVP.HXfl7l0_OfZGu_X_x-YI9wHgFo%26pid%3DApi%26w%3D296%26h%3D156%26c%3D7%26p%3D0&rurl=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3D2TGNdG0FYII&tit=%E0%A4%A8%E0%A5%8C+%E0%A4%A6%E0%A5%87%E0%A4%B5%E0%A4%BF%E0%A4%AF%E0%A5%8B%E0%A4%82+%E0%A4%95%E0%A5%80+%E0%A4%86%E0%A4%B0%E0%A4%A4%E0%A4%BF%E0%A4%AF%E0%A4%BE%E0%A4%82+I+Nau+Devi+Aarti+Collection+I+LAKHBIR+SINGH+LAKKHA+I+Aartiyan+Hi+Aartiyan&pos=01&vid=4f9aa4f3a37ce49377ab7b585137d55b&sigr=OMoXhF8qaoXF&sigt=HfxrRSPPDMyd&sigi=J2RXNvn2izJ3
West India,Diwali,Folk,Om Rasa,Hari Dey,https://r.search.yahoo.com/_ylt=AwrKErCv.ZlnUwIAx4i7HAx.;_ylu=Y29sbwNzZzMEcG9zAzEEdnRpZAMEc2VjA3Ny/RV=2/RE=1739353776/RO=10/RU=https%3a%2f%2fwww.youtube.com%2fwatch%3fv%3dJEoxUG898qY/RK=2/RS=tvRK3GvecJdQch6jJCVEwa.IMmA-
South India,Pongal,Folk,Devi Aarti,M.S. Mansur,https://in.video.search.yahoo.com/search/video;_ylt=Awr1ShXY.Zln8wEAX0a7HAx.;_ylu=Y29sbwNzZzMEcG9zAzEEdnRpZAMEc2VjA3Nj?type=E211IN885G0&p=Devi+Aarti+yt&fr=mcafee&turl=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOVP.gT9xFXyhUFS2v0SqfiMHJAHgFo%26pid%3DApi%26w%3D296%26h%3D156%26c%3D7%26p%3D0&rurl=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DdhDoki1F51U&tit=Jai+Ambe+Gauri%2C+Aarti+Sangrah%2C+Best+DEVI+Aarti+Collection+By+Anuradha+Paudwal+I+Audio+Juke+Box&pos=01&vid=e2f663a1730a058ecdb9e9bffcc1020c&sigr=bp5SlD8RDdi_&sigt=feSzttkygviZ&sigi=ixbtgtAoIoUI
West India,Ganesh Chaturthi,Devotional,Maha Bhajan,Hari Joshi,https://in.video.search.yahoo.com/search/video;_ylt=Awr1Ten7.ZlnPQIAb227HAx.;_ylu=Y29sbwNzZzMEcG9zAzEEdnRpZAMEc2VjA3Nj?type=E211IN885G0&p=Maha+Bhajan+yt&fr=mcafee&turl=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOVP.jpE4XXdXUEYxHAJY3fXojAHgFo%26pid%3DApi%26w%3D296%26h%3D156%26c%3D7%26p%3D0&rurl=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DtcmNo-cdCPU&tit=Top+Bholenath+Song+of+Hansraj+Raghuwanshi+%7CJuke+Box+%7C&pos=01&vid=1ca6778e990c0a67e9e3fcb1323c6456&sigr=YKvHYwzjYwiq&sigt=BoO2LUfvd_84&sigi=RTFQQX9wST9U
West India,Navratri,Folk,Raga Malhar,Pt. Bhosle,https://in.video.search.yahoo.com/search/video;_ylt=AwrKBxM5.plnKwIAn2W7HAx.;_ylu=Y29sbwNzZzMEcG9zAzEEdnRpZAMEc2VjA3Nj?type=E211IN885G0&p=Raga+Malhar+yt&fr=mcafee&turl=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOVP.TCFCE2e-4Fj7ez18V5a_qwHgFo%26pid%3DApi%26w%3D296%26h%3D156%26c%3D7%26p%3D0&rurl=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DeA2_S9Pyds4&tit=Raag+Megh+I+Kaushiki+Chakraborty+I+Malhar+2016&pos=01&vid=90835559f6cec0ea54157eda14b18d22&sigr=150HABTtp0So&sigt=1RPoZkHsIuMb&sigi=DT0_046Wg0KD
West India,Navratri,Devotional,Swar Rasa,Bhimsen Dey,https://in.video.search.yahoo.com/search/video;_ylt=Awr1ShVf.plnJQIAh2m7HAx.;_ylu=Y29sbwNzZzMEcG9zAzEEdnRpZAMEc2VjA3Nj?type=E211IN885G0&p=Swar+Rasa+yt&fr=mcafee&turl=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOVP.IbrOIbk6GcX4jUnodCPReAHgFo%26pid%3DApi%26w%3D296%26h%3D156%26c%3D7%26p%3D0&rurl=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DmBHOJf8mums&tit=Marathi+Swar+%7C+Marathi+Vowels+%7C+%E0%A4%AE%E0%A4%B0%E0%A4%BE%E0%A4%A0%E0%A5%80+%E0%A4%B8%E0%A5%8D%E0%A4%B5%E0%A4%B0%E0%A4%AE%E0%A4%BE%E0%A4%B2%E0%A4%BE+%7C+Marathi+Alphabets+%7C+Marathi+mulakshre+%7C+Grammar&pos=01&vid=51ce970a48b9bb2c2b9570a27d822c9e&sigr=FissxBKXUD08&sigt=RYSUpdip7goz&sigi=HExP_Bl3A61H
North India,Lohri,Classical,Anand Leela,Hari Amonkar,https://r.search.yahoo.com/_ylt=Awr1ShWB.pln8wEAHye7HAx.;_ylu=Y29sbwNzZzMEcG9zAzEEdnRpZAMEc2VjA3Ny/RV=2/RE=1739353985/RO=10/RU=https%3a%2f%2fwww.youtube.com%2fchannel%2fUCautsPFgNw_c85kfakEukCg/RK=2/RS=gaqX3E8VTZEaXXJE3jqz0BYyy3Q-
North India,Baisakhi,Bhajan,Guru Sangeet,Begum Bhosle,https://in.video.search.yahoo.com/search/video;_ylt=AwrPqmSj.plnLQIAjz67HAx.;_ylu=Y29sbwNzZzMEcG9zAzEEdnRpZAMEc2VjA3Nj?type=E211IN885G0&p=Guru+Sangeet+yt&fr=mcafee&turl=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOVP.o2k8nqPXPRFO2CCHvPdRoQEsDh%26pid%3DApi%26w%3D296%26h%3D156%26c%3D7%26p%3D0&rurl=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DJSXv9cqXnjI&tit=Sangeet+Baithak+%7C+Guru+Sangeet+Academy+%7C+Yashwant+Vaishnav+%7C+Tabla+Solo&pos=01&vid=7855493f9148ea515df7cd09a5018c7f&sigr=toTzPHMwRSZn&sigt=QXLSOi3_Dg14&sigi=MddN2tjlo9Af
East India,Chhath Puja,Classical,Shiv Stuti,Ravi Kulkarni,https://in.video.search.yahoo.com/search/video;_ylt=AwrPqmTJ.pln.wEApzq7HAx.;_ylu=Y29sbwNzZzMEcG9zAzEEdnRpZAMEc2VjA3Nj?type=E211IN885G0&p=Shiv+Stuti+yt&fr=mcafee&turl=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOVP.vh36QIHEabzagwEsPMclHwHgFo%26pid%3DApi%26w%3D296%26h%3D156%26c%3D7%26p%3D0&rurl=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DQ0jhQWuYPL4&tit=Shiva+Stuti+%28Prayer+to+Shiva%29+-+with+English+lyrics&pos=01&vid=160b01ae15bc001300c64b6cb60be6ea&sigr=tnAM3GnB45gI&sigt=QePGH87qrhau&sigi=oPlobp5SDYOJ
South India,Pongal,Folk,Raga Rasa,Begum Gundecha,https://r.search.yahoo.com/_ylt=Awr1Tenj.plnMAIA_9K7HAx.;_ylu=Y29sbwNzZzMEcG9zAzEEdnRpZAMEc2VjA3Ny/RV=2/RE=1739354084/RO=10/RU=https%3a%2f%2fwww.youtube.com%2fuser%2fRagaRasaMusic%2fvideos/RK=2/RS=4v958IN9Lsx0SSwRVtdkKayG0DU-
North India,Baisakhi,Classical,Swar Katha,Mallikarjun Mangeshkar,https://in.video.search.yahoo.com/search/video;_ylt=Awr1VSkP.5lnrwIAV3G7HAx.;_ylu=Y29sbwNzZzMEcG9zAzEEdnRpZAMEc2VjA3Nj?type=E211IN885G0&p=Swar+Katha+yt&fr=mcafee&turl=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOVP.qW2_GkHgQ293E8UO7imGEAHgFo%26pid%3DApi%26w%3D296%26h%3D156%26c%3D7%26p%3D0&rurl=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DAqOwp2eCpfA&tit=Hindi+swar+au+ki+kahani%2C%E0%A4%B9%E0%A4%BF%E0%A4%82%E0%A4%A6%E0%A5%80+%E0%A4%B8%E0%A5%8D%E0%A4%B5%E0%A4%B0+%E0%A4%94+%E0%A4%95%E0%A5%80+%E0%A4%95%E0%A4%B9%E0%A4%BE%E0%A4%A8%E0%A5%80%2C+%E0%A4%94%E0%A4%B2%E0%A5%80%E0%A4%B0%E0%A4%BE%E0%A4%AE+%E0%A4%95%E0%A5%87+%E0%A4%94%E0%A4%9C%E0%A4%BC%E0%A4%BE%E0%A4%B0&pos=01&vid=833c9ffc1c6c9b3bf9b9abae020e96aa&sigr=T7UM6iN8bpNY&sigt=wKIjzynii1eb&sigi=skB8JXH1EDf_
North India,Diwali,Semi-Classical,Swar Dhwani,Begum Subbulakshmi,https://in.video.search.yahoo.com/search/video;_ylt=Awrx_W40.5ln.gEAByu7HAx.;_ylu=Y29sbwNzZzMEcG9zAzEEdnRpZAMEc2VjA3Nj?type=E211IN885G0&p=Swar+Dhwani+yt&fr=mcafee&turl=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOVP.s8UAUymisRDZPQQrA14KGgEsDh%26pid%3DApi%26w%3D296%26h%3D156%26c%3D7%26p%3D0&rurl=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DCm4RTD8Qu1g&tit=Basics+Of+Hindustani+Classical+Music+%28Vocals%29+-+Dhwani%2C+Naad+and+Swar+Uttpati&pos=01&vid=d81c655bdd52d6dd2345dfe1ddda2f9b&sigr=9Mo_g3Cztle1&sigt=caloISXk_ktM&sigi=IVZa7W8aNfV6
South India,Onam,Classical,Krishna Aarti,Pt. Kulkarni,https://in.video.search.yahoo.com/search/video;_ylt=AwrKGL6s.5lnlgIAByu7HAx.;_ylu=Y29sbwNzZzMEcG9zAzEEdnRpZAMEc2VjA3Nj?type=E211IN885G0&p=Krishna+Aarti+yt&fr=mcafee&turl=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOVP.wWlH5sAnZefurlkovh7oVwHgFo%26pid%3DApi%26w%3D296%26h%3D156%26c%3D7%26p%3D0&rurl=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DEoInzJYNbCg&tit=KRISHNA+AARTI+%3A+%E0%A4%86%E0%A4%B0%E0%A4%A4%E0%A5%80+%E0%A4%95%E0%A5%81%E0%A4%82%E0%A4%9C%E0%A4%AC%E0%A4%BF%E0%A4%B9%E0%A4%BE%E0%A4%B0%E0%A5%80+%E0%A4%95%E0%A5%80+%E0%A4%87%E0%A4%AE%E0%A5%87%E0%A4%9C+%3A+Aarti+Kunj+Bihari+Ki+%7C+Most+Popular+Krishna+Bhajan+%23Aarti&pos=01&vid=cadfde4a4467f82de81581754dd3c12d&sigr=4DurWCeGQuie&sigt=M5dR0nZ6ahGB&sigi=rmx13mGyQUOY
